"","PM","ECO","lyr_bot","d14c","rep","Year","Al_ox","Al_py","Fe_dc","Fe_ox","year"
"51","granite","cold",30,-186.409768732647,"b",2001,2.70497118078543,2.70497118078543,2.93805606703742,1.80538053628843,1
"52","granite","cool",10,141.918146112382,"b",2001,6.10012182889486,2.60923985751654,4.29521158151286,2.73261788917358,1
"53","granite","cool",20,67.238866347485,"b",2001,4.58623547534661,2.00122545061734,4.28988818440717,2.61820987117567,1
"54","granite","cool",30,27.9009955046514,"b",2001,4.38713157937025,1.66588539544517,4.39317534036228,2.56338952264469,1
"55","andesite","warm",10,47.3,"a",2019,15.6918904381968,5.43564956456918,39.6206027811948,4.39062672521814,19
"56","andesite","warm",10,26,"b",2019,15.6918904381968,5.43564956456918,39.6206027811948,4.39062672521814,19
"57","andesite","warm",20,42.6,"a",2019,16.7799261541642,4.1927233983413,45.1277220851047,4.61678690883707,19
"58","andesite","warm",20,35,"b",2019,16.7799261541642,4.1927233983413,45.1277220851047,4.61678690883707,19
"59","andesite","warm",30,27.2,"a",2019,15.9847030576769,3.83467001667087,46.7148174185386,4.55662606428335,19
"60","andesite","warm",30,30.9,"b",2019,15.9847030576769,3.83467001667087,46.7148174185386,4.55662606428335,19
"61","andesite","cold",10,58.5,"a",2019,31.5737866273885,7.15323273973237,10.3708054908725,5.67885790550017,19
"62","andesite","cold",10,66.4,"b",2019,31.5737866273885,7.15323273973237,10.3708054908725,5.67885790550017,19
"63","andesite","cold",20,27,"a",2019,34.4341740727262,5.47787986595205,11.5778196020113,5.95011093385526,19
"64","andesite","cold",20,50.5,"b",2019,34.4341740727262,5.47787986595205,11.5778196020113,5.95011093385526,19
"65","andesite","cold",30,41.8,"a",2019,34.1444201028567,5.11890056399373,11.5819687427447,5.9917516260884,19
"66","andesite","cold",30,28.6,"b",2019,34.1444201028567,5.11890056399373,11.5819687427447,5.9917516260884,19
"67","andesite","cool",10,45.7,"a",2019,31.7198622863752,10.3290278986733,13.2222795835593,6.496340690641,19
"68","andesite","cool",10,91.7,"b",2019,31.7198622863752,10.3290278986733,13.2222795835593,6.496340690641,19
"69","andesite","cool",20,65.6,"a",2019,36.7120681293262,8.841328929924,15.2385400632336,6.84522811291924,19
"70","andesite","cool",20,68.9,"b",2019,36.7120681293262,8.841328929924,15.2385400632336,6.84522811291924,19
"71","andesite","cool",30,44.6,"a",2019,38.8096544688208,7.14737383075395,16.1420546926304,7.00742330836137,19
"72","andesite","cool",30,61.6,"b",2019,38.8096544688208,7.14737383075395,16.1420546926304,7.00742330836137,19
"73","basalt","warm",10,84.1,"a",2019,8.47927902097102,4.56953397512228,46.4508757659556,2.5564697760045,19
"74","basalt","warm",10,71.5,"b",2019,8.47927902097102,4.56953397512228,46.4508757659556,2.5564697760045,19
"75","basalt","warm",20,59.9,"a",2019,8.82680778847546,4.74536175646616,48.3893041649917,2.27326136105573,19
"76","basalt","warm",20,52.3,"b",2019,8.82680778847546,4.74536175646616,48.3893041649917,2.27326136105573,19
"77","basalt","warm",30,-3,"a",2019,7.96982583224705,4.21171321934301,51.6521821073928,2.04282313997897,19
"78","basalt","warm",30,50.9,"b",2019,7.96982583224705,4.21171321934301,51.6521821073928,2.04282313997897,19
"79","basalt","cold",10,39.6,"a",2019,5.62652899702271,2.18857753464796,6.76326669255518,2.83663187854641,19
"80","basalt","cold",10,43.2,"b",2019,5.62652899702271,2.18857753464796,6.76326669255518,2.83663187854641,19
"81","basalt","cold",20,52.2,"a",2019,11.8709992665818,2.64704042697527,8.91707652707603,3.23866872498817,19
"82","basalt","cold",20,42.3,"b",2019,11.8709992665818,2.64704042697527,8.91707652707603,3.23866872498817,19
"83","basalt","cold",30,46,"a",2019,14.2486579764587,2.79751586167425,9.62701753027015,3.42016534864106,19
"84","basalt","cool",10,34.7,"a",2019,18.3833879406017,7.02995344498555,7.54486741560158,2.60374031620789,19
"85","basalt","cool",10,39,"b",2019,18.3833879406017,7.02995344498555,7.54486741560158,2.60374031620789,19
"86","basalt","cool",20,-20.9,"a",2019,20.9143932096374,4.02855771861269,10.6457699677523,2.29614424664402,19
"87","basalt","cool",20,7,"b",2019,20.9143932096374,4.02855771861269,10.6457699677523,2.29614424664402,19
"88","basalt","cool",30,-64.5,"a",2019,22.686697815354,2.15227285120966,12.45425078361,2.10244120668552,19
"89","basalt","cool",30,-17.1,"b",2019,22.686697815354,2.15227285120966,12.45425078361,2.10244120668552,19
"90","granite","warm",10,84.4,"a",2019,1.08901427369773,1.08223136144367,7.62654034665593,0.989735495346631,19
"91","granite","warm",10,72.8,"b",2019,1.08901427369773,1.08223136144367,7.62654034665593,0.989735495346631,19
"92","granite","warm",20,82.6,"a",2019,0.96115055256264,0.86211550306783,8.14704269530666,0.867982880951397,19
"93","granite","warm",20,99.8,"b",2019,0.96115055256264,0.86211550306783,8.14704269530666,0.867982880951397,19
"94","granite","warm",30,41.6,"a",2019,0.877345163071333,0.653991851540573,9.50367411754546,0.777225301712144,19
"95","granite","warm",30,49.3,"b",2019,0.877345163071333,0.653991851540573,9.50367411754546,0.777225301712144,19
"96","granite","cold",10,56.9,"a",2019,2.70034415866976,2.70034415866976,2.49417311233336,2.00460326789689,19
"97","granite","cold",10,6.2,"b",2019,2.70034415866976,2.70034415866976,2.49417311233336,2.00460326789689,19
"99","granite","cold",20,-23.5,"b",2019,2.68954205973229,2.68954205973229,2.72150592369395,1.83789839965424,19
"100","granite","cold",30,-28.9,"a",2019,2.70497118078543,2.70497118078543,2.93805606703742,1.80538053628843,19
"101","granite","cold",30,4.3,"b",2019,2.70497118078543,2.70497118078543,2.93805606703742,1.80538053628843,19
"102","granite","cool",10,71.2,"a",2019,6.10012182889486,2.60923985751654,4.29521158151286,2.73261788917358,19
"103","granite","cool",10,89.6,"b",2019,6.10012182889486,2.60923985751654,4.29521158151286,2.73261788917358,19
"104","granite","cool",20,-37.1,"a",2019,4.58623547534661,2.00122545061734,4.28988818440717,2.61820987117567,19
"105","granite","cool",20,-3,"b",2019,4.58623547534661,2.00122545061734,4.28988818440717,2.61820987117567,19
"106","granite","cool",30,20.1,"a",2019,4.38713157937025,1.66588539544517,4.39317534036228,2.56338952264469,19
"107","granite","cool",30,20.6,"b",2019,4.38713157937025,1.66588539544517,4.39317534036228,2.56338952264469,19
