"","PMeco","depth","pro_rep","Year","PM","ECO","lyr_top","lyr_bot","pro_name","lyr_name","fm","fm_err","d14c","d14c_err","bd_g_cm3","C","N","lyr_soc","lyr_soc_cmtv"
"5...29","ANrf","10-20",2,2019,"AN","rf",10,20,"ANrf_2","ANrf_2_10-20",0.98,0.0027,-28.2,2.7,0.856256472982074,6.56221532821655,0.386313557624817,5.61893935188761,17.2407952877022
"6...30","ANrf","10-20",3,2019,"AN","rf",10,20,"ANrf_3","ANrf_3_10-20",1.0031,0.0026,-5.3,2.6,0.856256472982074,9.9682035446167,0.529442012310028,8.53533880908091,20.0360951740695
"7...31","ANrf","20-30",1,2019,"AN","rf",20,30,"ANrf_1","ANrf_1_20-30",0.9553,0.0025,-52.7,2.5,0.797686516214085,6.48364019393921,0.422713160514832,5.17191235868899,21.3357135681763
"8...32","ANrf","20-30",2,2019,"AN","rf",20,30,"ANrf_2","ANrf_2_20-30",0.9861,0.0026,-22.2,2.6,0.797686516214085,5.34935808181763,0.320236146450043,4.26711081226677,21.507906099969
"9...33","ANrf","20-30",3,2019,"AN","rf",20,30,"ANrf_3","ANrf_3_20-30",0.9688,0.0026,-39.4,2.6,0.797686516214085,4.73542547225952,0.275385648012161,3.77738504775814,23.8134802218277
"10...34","ANrf","30-40",1,2019,"AN","rf",30,40,"ANrf_1","ANrf_1_30-40",0.9287,0.0025,-79.1,2.5,0.748699055168527,5.77767562866211,0.357590049505234,4.32574028424954,25.6614538524258
"11...35","ANrf","30-40",2,2019,"AN","rf",30,40,"ANrf_2","ANrf_2_30-40",0.9846,0.0028,-23.7,2.8,0.748699055168527,4.71867179870605,0.284536123275757,3.53286511734159,25.0407712173106
"12...36","ANrf","30-40",3,2019,"AN","rf",30,40,"ANrf_3","ANrf_3_30-40",0.9803,0.0025,-27.9,2.5,0.748699055168527,6.37437963485718,0.352693915367126,4.77249200990307,28.5859722317307
"13...37","ANrf","40-50",1,2019,"AN","rf",40,50,"ANrf_1","ANrf_1_40-50",0.8914,0.0019,-116.1,1.9,0.735976822981067,4.46003039677938,0.29731226960818,3.28247900182067,28.9439328542465
"14...38","ANrf","40-50",2,2019,"AN","rf",40,50,"ANrf_2","ANrf_2_40-50",0.9798,0.0025,-28.4,2.5,0.735976822981067,5.29176759719849,0.325560957193375,3.8946183041403,28.9353895214509
"15...39","ANrf","40-50",3,2019,"AN","rf",40,50,"ANrf_3","ANrf_3_40-50",0.9392,0.0025,-68.8,2.5,0.735976822981067,4.98282861709595,0.286360442638397,3.66724637506942,32.2532186068002
"16...40","ANrf","50-60",1,2019,"AN","rf",50,60,"ANrf_1","ANrf_1_50-60",0.9027,0.0019,-104.9,1.9,0.740000645623445,4.20989322662354,0.270835220813751,3.11532370570719,32.0592565599537
"17...41","ANrf","50-60",2,2019,"AN","rf",50,60,"ANrf_2","ANrf_2_50-60",0.9775,0.0025,-30.7,2.5,0.740000645623445,6.14501762390137,0.338256537914276,4.54731700905446,33.4827065305053
"18...42","ANrf","50-60",3,2019,"AN","rf",50,60,"ANrf_3","ANrf_3_50-60",0.9167,0.0025,-91.1,2.5,0.740000645623445,4.6144003868103,0.274627447128296,3.4146592654047,35.6678778722049
"1...43","ANwf","0-10",1,2019,"AN","wf",0,10,"ANwf_1","ANwf_1_0-10",1.0187,0.0026,10.1,2.6,0.628859165622161,8.83144855499268,0.400713384151459,5.55373736952774,5.55373736952774
"2...44","ANwf","0-10",2,2019,"AN","wf",0,10,"ANwf_2","ANwf_2_0-10",0.9611,0.0017,-47,1.7,0.628859165622161,8.60512351989746,0.351741135120392,5.41141079679835,5.41141079679835
"3...45","ANwf","0-10",3,2019,"AN","wf",0,10,"ANwf_3","ANwf_3_0-10",0.9754,0.0055,-32.8,5.5,0.628859165622161,9.28986835479736,0.371974110603333,5.84201886233759,5.84201886233759
"4...46","ANwf","10-20",1,2019,"AN","wf",10,20,"ANwf_1","ANwf_1_10-20",0.9544,0.0026,-53.6,2.6,0.608137824530149,6.83183670043945,0.334659139315287,4.15469830855048,9.70843567807822
"5...47","ANwf","10-20",2,2019,"AN","wf",10,20,"ANwf_2","ANwf_2_10-20",0.9447,0.0019,-63.3,1.9,0.608137824530149,9.10203266143799,0.38875475525856,5.53529034152926,10.9467011383276
"6...48","ANwf","10-20",3,2019,"AN","wf",10,20,"ANwf_3","ANwf_3_10-20",0.9691,0.0018,-39.1,1.8,0.608137824530149,9.27425479888916,0.371393114328384,5.64002513753474,11.4820439998723
"7...49","ANwf","20-30",1,2019,"AN","wf",20,30,"ANwf_1","ANwf_1_20-30",0.9336,0.0025,-74.2,2.5,0.565037457951941,6.50075578689575,0.322460979223251,3.67317052459395,13.3816062026722
"8...50","ANwf","20-30",2,2019,"AN","wf",20,30,"ANwf_2","ANwf_2_20-30",0.9232,0.002,-84.6,2,0.565037457951941,8.0152063369751,0.372105270624161,4.5288918136047,15.4755929519323
"9...51","ANwf","20-30",3,2019,"AN","wf",20,30,"ANwf_3","ANwf_3_20-30",0.9246,0.0018,-83.2,1.8,0.565037457951941,7.95810604095459,0.370580703020096,4.49662800749297,15.9786720073653
"10...52","ANwf","30-40",1,2019,"AN","wf",30,40,"ANwf_1","ANwf_1_30-40",0.8946,0.0023,-113,2.3,0.564065793807869,5.30181837081909,0.271980583667755,2.99057438796121,16.3721805906334
"11...53","ANwf","30-40",2,2019,"AN","wf",30,40,"ANwf_2","ANwf_2_30-40",0.8767,0.0019,-130.7,1.9,0.564065793807869,6.22519159317017,0.31756266951561,3.5114176376076,18.9870105895399
"12...54","ANwf","30-40",3,2019,"AN","wf",30,40,"ANwf_3","ANwf_3_30-40",0.941,0.0017,-66.9,1.8,0.564065793807869,8.2336368560791,0.339446306228638,4.64431290914998,20.6229849165153
"13...55","ANwf","40-50",1,2019,"AN","wf",40,50,"ANwf_1","ANwf_1_40-50",0.8894,0.0024,-118.1,2.4,0.624951515926968,5.73078346252441,0.312479376792908,3.58146181235383,19.9536424029872
"14...56","ANwf","40-50",2,2019,"AN","wf",40,50,"ANwf_2","ANwf_2_40-50",0.8762,0.002,-131.1,2,0.624951515926968,5.80646228790283,0.305507898330688,3.62875740899764,22.6157679985376
"15...57","ANwf","40-50",3,2019,"AN","wf",40,50,"ANwf_3","ANwf_3_40-50",0.8587,0.0018,-148.6,1.8,0.624951515926968,7.43913125991821,0.404003123442332,4.64909635806558,25.2720812745809
"16...58","ANwf","50-60",1,2019,"AN","wf",50,60,"ANwf_1","ANwf_1_50-60",0.8987,0.0023,-108.9,2.3,0.734551354504636,5.50267648696899,0.304762214422226,4.04199846690389,23.9956408698911
"17...59","ANwf","50-60",2,2019,"AN","wf",50,60,"ANwf_2","ANwf_2_50-60",0.8843,0.0019,-123.2,1.9,0.734551354504636,5.77335405349731,0.283787459135056,4.24082504003128,26.8565930385688
"18...60","ANwf","50-60",3,2019,"AN","wf",50,60,"ANwf_3","ANwf_3_50-60",0.8908,0.002,-116.8,2,0.734551354504636,7.57065343856812,0.412106096744537,5.5610337377854,30.8331150123663
"1...61","BSpp","0-10",1,2019,"BS","pp",0,10,"BSpp_1","BSpp_1_0-10",1.0651,0.002,56.1,2,0.628070078815806,6.42295742034912,0.244400337338448,4.03406737322924,4.03406737322924
"2...62","BSpp","0-10",2,2019,"BS","pp",0,10,"BSpp_2","BSpp_2_0-10",1.063,0.0021,54.1,2.1,0.628070078815806,5.56052207946777,0.20920766890049,3.49239754070835,3.49239754070835
"3...63","BSpp","0-10",3,2019,"BS","pp",0,10,"BSpp_3","BSpp_3_0-10",1.0579,0.0021,49,2.1,0.628070078815806,3.84096074104309,0.158773437142372,2.41239251535535,2.41239251535535
