ID,Rep,C,N
BSpp_1_0-10,1,6.42295742,0.244400337
BSpp_1_10-20,1,4.246605396,0.156405434
BSpp_1_20-30,1,1.383687258,0.074845098
BSpp_1_30-40,1,1.531295419,0.074460447
BSpp_1_40-50,1,1.146178007,0.052083518
BSpp_1_50-60,3,0.883584023,0.045577671
BSpp_1_60-70,1,0.696821988,0.040626992
BSpp_1_70-75,1,0.65525049,0.037842914
BSpp_2_0-10,1,5.560522079,0.209207669
BSpp_2_10-20,1,2.677557468,0.106669866
BSpp_2_20-30,1,1.40651238,0.069418728
BSpp_2_30-40,1,1.139913917,0.055133808
BSpp_2_40-50,1,1.195821047,0.05247375
BSpp_2_50-60,1,1.201461077,0.057806052
BSpp_2_60-70,1,1.159926414,0.052535437
BSpp_2_70-75,1,0.530145407,0.030131923
BSpp_3_0-10,1,3.840960741,0.158773437
BSpp_3_10-20,1,3.944574118,0.141964912
BSpp_3_20-30,1,1.930874228,0.085967533
BSpp_3_30-40,1,1.532922029,0.071232103
BSpp_3_40-50,3,1.089203755,0.052795546
BSpp_3_50-60,1,0.498385161,0.033632856
BSpp_3_60-70,1,0.386733532,0.02611682
BSpp_3_70-75,1,0.493638784,0.031127078
