SampleName,PMeco,ID,dw_g,timepoint_cmtv,sheet_name,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,time_d,mgCO2_jar
36_20_BSrf_comp_8-15_2001_b,BSrf,BSrf_8-15_2001_b,8.0,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,1.66
37_21_BSrf_comp_15-30_2001_a,BSrf,BSrf_15-30_2001_a,8.1,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,1.74
38_21_BSrf_comp_15-30_2001_b,BSrf,BSrf_15-30_2001_b,8.0,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,2.11
39_22_BSwf_comp_0-10_2001_a,BSwf,BSwf_0-10_2001_a,8.1,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,5.80
40_22_BSwf_comp_0-10_2001_b,BSwf,BSwf_0-10_2001_b,8.0,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,4.93
41_23_BSwf_comp_10-19_2001_a,BSwf,BSwf_10-19_2001_a,8.0,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,3.08
42_23_BSwf_comp_10-19_2001_b,BSwf,BSwf_10-19_2001_b,8.0,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,2.75
43_25_BSpp_comp_0-7_2001_a,BSpp,BSpp_0-7_2001_a,8.1,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,5.05
44_25_BSpp_comp_0-7_2001_b,BSpp,BSpp_0-7_2001_b,8.1,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,6.34
45_26_BSpp_comp_7-18_2001_a,BSpp,BSpp_7-18_2001_a,8.0,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,2.43
46_26_BSpp_comp_7-18_2001_b,BSpp,BSpp_7-18_2001_b,8.1,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,2.95
47_27_BSpp_comp_18-28_2001_a,BSpp,BSpp_18-28_2001_a,8.0,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,0.95
48_27_BSpp_comp_18-28_2001_b,BSpp,BSpp_18-28_2001_b,8.0,2,2001_Inc_02.12.20,,44165.4375,2020,11,30.4,44167.41667,2020,12,2.4,2.0,0.94
27_16_ANpp_comp_0-6_2001_a,ANpp,ANpp_0-6_2001_a,8.1,3,2001_Inc_04.12.20,,44165.4375,2020,11,30.4,44169.47917,2020,12,4.5,4.0,11.11
28_16_ANpp_comp_0-6_2001_b,ANpp,ANpp_0-6_2001_b,8.1,3,2001_Inc_04.12.20,,44165.4375,2020,11,30.4,44169.47917,2020,12,4.5,4.0,6.62
