SampleName,PMeco,ID,dw_g,timepoint_cmtv,sheet_name,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,time_d,mgCO2_jar
22_BSwf_comp_0-10,BSwf,BSwf_0-10_2019_b,15.37,3,2019_IncRep_13.07.20,,44020.5,2020,7,8.5,44025.47917,2020,7,13.47916667,4.979166667,3.895734832
23_BSwf_comp_10-20,BSwf,BSwf_10-20_2019_b,15.11,3,2019_IncRep_13.07.20,,44020.5,2020,7,8.5,44025.47917,2020,7,13.47916667,4.979166667,4.007674378
24_BSwf_comp_20-30,BSwf,BSwf_20-30_2019_b,15.31,3,2019_IncRep_13.07.20,,44020.5,2020,7,8.5,44025.47917,2020,7,13.47916667,4.979166667,2.270384326
25_BSpp_comp_0-10,BSpp,BSpp_0-10_2019_b,15.38,3,2019_IncRep_13.07.20,,44020.5,2020,7,8.5,44025.47917,2020,7,13.47916667,4.979166667,7.190098931
26_BSpp_comp_10-20,BSpp,BSpp_10-20_2019_b,15.06,3,2019_IncRep_13.07.20,,44020.5,2020,7,8.5,44025.47917,2020,7,13.47916667,4.979166667,5.913872799
27_BSpp_comp_20-30,BSpp,BSpp_20-30_2019_b,15.42,3,2019_IncRep_13.07.20,,44020.5,2020,7,8.5,44025.47917,2020,7,13.47916667,4.979166667,3.506510746
1_GRrf_comp_0-10,GRrf,GRrf_0-10_2019_b,15.61,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,5.57481006
2_GRrf_comp_10-20,GRrf,GRrf_10-20_2019_b,15.8,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,2.809871966
3_GRrf_comp_20-30,GRrf,GRrf_20-30_2019_b,15.54,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,2.050475462
4_GRwf_comp_0-10,GRwf,GRwf_0-10_2019_b,15.46,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,7.483853705
5_GRwf_comp_10-20,GRwf,GRwf_10-20_2019_b,15.31,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,4.858770006
6_GRwf_comp_20-30,GRwf,GRwf_20-30_2019_b,15.31,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,3.681727643
7_GRpp_comp_0-10,GRpp,GRpp_0-10_2019_b,15.46,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,17.84004604
8_GRpp_comp_10-20,GRpp,GRpp_10-20_2019_b,15.53,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,15.97076244
