SampleName,PMeco,ID,dw_g,timepoint_cmtv,sheet_name,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,time_d,mgCO2_jar
6_GRwf_comp_20-30,GRwf,GRwf_20-30_2019_a,15.3,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,1.443962
7_GRpp_comp_0-10,GRpp,GRpp_0-10_2019_a,15.46,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,3.481856729
8_GRpp_comp_10-20,GRpp,GRpp_10-20_2019_a,15.5,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,3.453197739
9_GRpp_comp_20-30,GRpp,GRpp_20-30_2019_a,15.4,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,1.425028942
10_ANrf_comp_0-10,ANrf,ANrf_0-10_2019_a,15.3,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.075467837
11_ANrf_comp_10-20,ANrf,ANrf_10-20_2019_a,15.4,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,1.839435066
12_ANrf_comp_20-30,ANrf,ANrf_20-30_2019_a,15.8,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.358355029
13_ANwf_comp_0-10,ANwf,ANwf_0-10_2019_a,15.07,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.026449761
14_ANwf_comp_10-20,ANwf,ANwf_10-20_2019_a,14.9,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.334602525
15_ANwf_comp_20-30,ANwf,ANwf_20-30_2019_a,15.6,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.676604211
16_ANpp_comp_0-10,ANpp,ANpp_0-10_2019_a,15.58,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,3.566620093
17_ANpp_comp_10-20,ANpp,ANpp_10-20_2019_a,15.5,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.048408319
18_ANpp_comp_20-30,ANpp,ANpp_20-30_2019_a,15.8,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.168179242
19_BSrf_comp_0-10,BSrf,BSrf_0-10_2019_a,15.8,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,1.754383468
20_BSrf_comp_10-20,BSrf,BSrf_10-20_2019_a,15.8,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.106429471
21_BSrf_comp_20-30,BSrf,BSrf_20-30_2019_a,15.4,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.346252691
22_BSwf_comp_0-10,BSwf,BSwf_0-10_2019_a,15.35,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,1.817276061
23_BSwf_comp_10-20,BSwf,BSwf_10-20_2019_a,15.1,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.40133899
24_BSwf_comp_20-30,BSwf,BSwf_20-30_2019_a,15.3,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,1.198613625
25_BSpp_comp_0-10,BSpp,BSpp_0-10_2019_a,15.3,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.916948101
26_BSpp_comp_10-20,BSpp,BSpp_10-20_2019_a,15,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.414503104
27_BSpp_comp_20-30,BSpp,BSpp_20-30_2019_a,15.4,2,2019_Inc_14.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,1.551547783
1_GRrf_comp_0-10,GRrf,GRrf_0-10_2019_a,15.6,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,3.449852543
2_GRrf_comp_10-20,GRrf,GRrf_10-20_2019_a,15.8,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.57999112
3_GRrf_comp_20-30,GRrf,GRrf_20-30_2019_a,15.5,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,1.22270836
4_GRwf_comp_0-10,GRwf,GRwf_0-10_2019_a,15.4,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,4.494310953
5_GRwf_comp_10-20,GRwf,GRwf_10-20_2019_a,15.3,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,2.677630107
6_GRwf_comp_20-30,GRwf,GRwf_20-30_2019_a,15.3,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,2.807008348
7_GRpp_comp_0-10,GRpp,GRpp_0-10_2019_a,15.46,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,8.855824907
8_GRpp_comp_10-20,GRpp,GRpp_10-20_2019_a,15.5,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,6.614513702
9_GRpp_comp_20-30,GRpp,GRpp_20-30_2019_a,15.4,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,3.025923224
10_ANrf_comp_0-10,ANrf,ANrf_0-10_2019_a,15.3,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,3.888138495
11_ANrf_comp_10-20,ANrf,ANrf_10-20_2019_a,15.4,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,3.45728046
12_ANrf_comp_20-30,ANrf,ANrf_20-30_2019_a,15.8,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,4.370564641
13_ANwf_comp_0-10,ANwf,ANwf_0-10_2019_a,15.07,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.45833,2020,2,13.45833333,1,3.629267579
14_ANwf_comp_10-20,ANwf,ANwf_10-20_2019_a,14.9,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,3.96156164
15_ANwf_comp_20-30,ANwf,ANwf_20-30_2019_a,15.6,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,4.541308366
16_ANpp_comp_0-10,ANpp,ANpp_0-10_2019_a,15.58,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,7.353356796
17_ANpp_comp_10-20,ANpp,ANpp_10-20_2019_a,15.5,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,4.125186325
18_ANpp_comp_20-30,ANpp,ANpp_20-30_2019_a,15.8,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,4.141097563
19_BSrf_comp_0-10,BSrf,BSrf_0-10_2019_a,15.8,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,3.500653454
20_BSrf_comp_10-20,BSrf,BSrf_10-20_2019_a,15.8,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,3.54956005
21_BSrf_comp_20-30,BSrf,BSrf_20-30_2019_a,15.4,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,3.764394273
22_BSwf_comp_0-10,BSwf,BSwf_0-10_2019_a,15.35,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,3.287367098
23_BSwf_comp_10-20,BSwf,BSwf_10-20_2019_a,15.1,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,3.799069852
24_BSwf_comp_20-30,BSwf,BSwf_20-30_2019_a,15.3,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,1.702930956
25_BSpp_comp_0-10,BSpp,BSpp_0-10_2019_a,15.3,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,5.506332161
26_BSpp_comp_10-20,BSpp,BSpp_10-20_2019_a,15,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,4.213133388
27_BSpp_comp_20-30,BSpp,BSpp_20-30_2019_a,15.4,3,2019_Inc_17.02.20,,43873.45833,2020,2,12.45833333,43874.47917,2020,2,13.47916667,1.020833333,2.625365782
1_GRrf_comp_0-10,GRrf,GRrf_0-10_2019_a,15.6,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,4.565919427
2_GRrf_comp_10-20,GRrf,GRrf_10-20_2019_a,15.8,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,2.061597774
3_GRrf_comp_20-30,GRrf,GRrf_20-30_2019_a,15.5,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,1.526496101
4_GRwf_comp_0-10,GRwf,GRwf_0-10_2019_a,15.4,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,5.656532142
5_GRwf_comp_10-20,GRwf,GRwf_10-20_2019_a,15.3,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,3.262195521
