SampleName,PMeco,ID,dw_g,timepoint_cmtv,sheet_name,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,time_d,mgCO2_jar
3_2_GRrf_comp_0-8_2001_a,GRrf,GRrf_0-8_2001_a,8.00,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,1.34
4_2_GRrf_comp_0-8_2001_b,GRrf,GRrf_0-8_2001_b,8.07,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,1.40
5_3_GRrf_comp_8-27_2001_a,GRrf,GRrf_8-27_2001_a,8.25,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,0.50
6_3_GRrf_comp_8-27_2001_b,GRrf,GRrf_8-27_2001_b,8.26,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,0.50
7_4_GRwf_comp_0-4_2001_a,GRwf,GRwf_0-4_2001_a,8.02,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,5.83
8_4_GRwf_comp_0-4_2001_b,GRwf,GRwf_0-4_2001_b,8.08,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,5.56
9_5_GRwf_comp_4-13_2001_a,GRwf,GRwf_4-13_2001_a,8.06,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,1.35
10_5_GRwf_comp_4-13_2001_b,GRwf,GRwf_4-13_2001_b,8.03,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,1.58
11_6_GRwf_comp_13-28_2001_a,GRwf,GRwf_13-28_2001_a,8.02,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,0.56
12_6_GRwf_comp_13-28_2001_b,GRwf,GRwf_13-28_2001_b,8.07,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,0.59
13_7_GRpp_comp_0-7_2001_a,GRpp,GRpp_0-7_2001_a,8.08,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,4.88
14_7_GRpp_comp_0-7_2001_b,GRpp,GRpp_0-7_2001_b,8.05,1,2001_Inc_06.10.20,,44109.375,2020,10,5.4,44110.60417,2020,10,6.6,1.2,5.01
